[13-Dec-2017 13:44:40 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 13:44:40 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 13:44:42 UTC] PHP Notice:  Undefined variable: wp_customize in D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php on line 334
[13-Dec-2017 13:44:42 UTC] PHP Fatal error:  Call to a member function add_section() on null in D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php on line 334
[13-Dec-2017 13:45:41 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 13:46:19 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 13:46:46 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 13:47:20 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 13:47:30 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 13:48:20 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 13:50:20 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 13:52:20 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
[13-Dec-2017 13:54:20 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\Server\OpenServer\domains\wp-Nerds\wp-content\themes\wp-nerds\functions.php:381) in D:\Server\OpenServer\domains\wp-Nerds\wp-admin\includes\misc.php on line 1114
